,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year
304,ZZHJWSCS,01/18/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018
305,ZZSRSRCZ,01/24/2018,BLACK,M,OTHERS,2018
306,ZZEBJZCL,01/24/2018,HISPANIC,M,"ASSAULT, THIRD DEGREE                 AM",2018
307,ZZSRSRLH,01/24/2018,HISPANIC,M,OTHERS,2018
308,ZZESWHHS,01/24/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
309,ZZSRSRLZ,01/24/2018,HISPANIC,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018
310,ZZSRSRCR,01/24/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
311,ZZSRSRCE,01/24/2018,WHITE,M,OTHERS,2018
312,ZZHHCSSR,01/18/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018
313,ZZSRSRCC,01/24/2018,WHITE,F,OTHERS,2018
314,ZZRZLWZZ,01/24/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
315,ZZHLBHJB,01/19/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
316,ZZRJLRRC,01/24/2018,WHITE,F,OTHERS,2018
317,ZZHWHCZJ,01/24/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
318,ZZSZCZHR,01/19/2018,HISPANIC,M,OTHERS,2018
319,ZZSRSRLB,01/24/2018,WHITE,M,OTHERS,2018
320,ZZSRHJJR,01/08/2018,WHITE,M,OTHERS,2018
321,ZZEWHWCL,01/25/2018,WHITE,M,OTHERS,2018
322,ZZHRBRRZ,01/05/2018,WHITE,M,OTHERS,2018
323,ZZERSSRJ,01/25/2018,WHITE,M,OTHERS,2018
324,ZZRHRECW,01/25/2018,WHITE,M,OTHERS,2018
325,ZZSRSESL,01/25/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
326,ZZHEWJEC,01/02/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018
327,ZZSRSRJS,01/25/2018,WHITE,F,OTHERS,2018
328,ZZHBWZHZ,01/25/2018,HISPANIC,M,OTHERS,2018
329,ZZHHHCEZ,01/25/2018,HISPANIC,F,INJURY OR RISK OF INJURY TO MINOR      F,2018
330,ZZHJBRJB,01/25/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018
331,ZZHZZBJW,01/25/2018,HISPANIC,M,OTHERS,2018
332,ZZSERSWW,01/11/2018,WHITE,F,OTHERS,2018
333,ZZHECCZW,01/25/2018,WHITE,M,OTHERS,2018
334,ZZHWECJR,01/25/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018
335,ZZHSJRBL,01/25/2018,WHITE,F,OTHERS,2018
336,ZZSRSHZR,01/26/2018,WHITE,M,OTHERS,2018
337,ZZHJLBBH,01/26/2018,BLACK,M,OTHERS,2018
338,ZZRBLEHE,01/26/2018,BLACK,M,OTHERS,2018
339,ZZHBEJRH,01/26/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
